date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:30	72718/72718	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202023%2022:13:26%20GMT	http://localhost/wordpress/	/Users/aslan/websites/cv_aslan/localhost/wordpress/index.html	(from )
23:13:30	1028/1028	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Nov%202023%2022:13:27%20GMT	http://localhost/robots.txt		(from )
23:13:30	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2026%20Nov%202023%2022:13:30%20GMT	http://localhost/wordpress/xmlrpc.php	/Users/aslan/websites/cv_aslan/localhost/wordpress/xmlrpc.php	(from http://localhost/wordpress/)
23:13:33	110035/110035	---M--	200	added ('OK')	text/css	etag:%221add3-6096ce9174c00%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	/Users/aslan/websites/cv_aslan/localhost/wordpress/wp-includes/css/dist/block-library/style.minaec2.css	(from http://localhost/wordpress/)
23:13:33	717/717	---M--	200	added ('OK')	application/rss+xml	etag:%22e3dd0566e9ee962e6199841c82e14a69%22	http://localhost/wordpress/comments/feed/	/Users/aslan/websites/cv_aslan/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
23:13:35	354/354	---M--	200	added ('OK')	text/css	etag:%22162-60aef394be2c0%22	http://localhost/wordpress/wp-content/themes/unique/style.css?ver=6.4.1	/Users/aslan/websites/cv_aslan/localhost/wordpress/wp-content/themes/unique/styleaec2.css	(from http://localhost/wordpress/)
23:13:36	406/406	---M--	200	added ('OK')	text/css	etag:%22196-60aefbeb10e40%22	http://localhost/wordpress/wp-content/themes/unique-child/style.css?ver=1.0.1	/Users/aslan/websites/cv_aslan/localhost/wordpress/wp-content/themes/unique-child/stylef269.css	(from http://localhost/wordpress/)
23:13:37	12056/12056	---M--	200	added ('OK')	text/css	etag:%222f18-60aefb405bb80%22	http://localhost/wordpress/wp-content/plugins/unyson/framework/extensions/builder/static/css/frontend-grid.css?ver=1.2.12	/Users/aslan/websites/cv_aslan/localhost/wordpress/wp-content/plugins/unyson/framework/extensions/builder/static/css/frontend-gridd115.css	(from http://localhost/wordpress/)
23:13:38	8245/8245	---M--	200	added ('OK')	text/css	etag:%222035-60aefb414fdc0%22	http://localhost/wordpress/wp-content/plugins/unyson/framework/extensions/forms/static/css/frontend.css?ver=2.7.28	/Users/aslan/websites/cv_aslan/localhost/wordpress/wp-content/plugins/unyson/framework/extensions/forms/static/css/frontendbe4c.css	(from http://localhost/wordpress/)
23:13:40	28417/28417	---MC-	200	added ('OK')	application/rss+xml	etag:%22e3dd0566e9ee962e6199841c82e14a69%22	http://localhost/wordpress/feed/	/Users/aslan/websites/cv_aslan/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
23:13:40	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-60aef94ab9c00%22	http://localhost/wordpress/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.min.css?ver=2.7.28	/Users/aslan/websites/cv_aslan/localhost/wordpress/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.minbe4c.css	(from http://localhost/wordpress/)
